Genus;Species;cluster
Aeromonas;Multi-affiliation;Cluster_2374
Elizabethkingia;Elizabethkingia ursingii;Cluster_2378
unknown genus;Solirubrobacterales bacterium 67-14;Cluster_2379
Empedobacter;Empedobacter brevis;Cluster_238
Brevundimonas;Brevundimonas basaltis;Cluster_2380
Ahniella;unknown species;Cluster_2387
unknown genus;unknown species;Cluster_2388
Desulfovibrio;Multi-affiliation;Cluster_239
possible genus 04;unknown species;Cluster_23910
unknown genus;unknown species;Cluster_2395
Desulfovibrio;Desulfovibrio sulfodismutans;Cluster_2396
Arcobacter;Multi-affiliation;Cluster_24
Subdoligranulum;Multi-affiliation;Cluster_240
unknown genus;unknown species;Cluster_2403
unknown genus;unknown species;Cluster_2404
unknown genus;unknown species;Cluster_2405
Elstera;Elstera sp.;Cluster_2407
unknown genus;unknown species;Cluster_2409
Parabacteroides;Parabacteroides sp.;Cluster_2410
Curvibacter;Multi-affiliation;Cluster_2411
Cellvibrio;Multi-affiliation;Cluster_2413
Fibrobacter;unknown species;Cluster_2415
AAP99;unknown species;Cluster_2416
Moraxella;Multi-affiliation;Cluster_242
Bauldia;metagenome;Cluster_2420
Spirochaeta 2;Spirochaeta sp.;Cluster_2423
Bacteroides;unknown species;Cluster_2424
IMCC26207;unknown species;Cluster_2426
unknown genus;metagenome;Cluster_2427
unknown genus;unknown species;Cluster_2429
Flavihumibacter;Multi-affiliation;Cluster_2430
unknown genus;unknown species;Cluster_2434
unknown genus;unknown species;Cluster_24357
Acinetobacter;Acinetobacter xiamenensis;Cluster_2437
unknown genus;unknown species;Cluster_2439
Multi-affiliation;Multi-affiliation;Cluster_2440
Desulfosporosinus;unknown species;Cluster_24421
Aeromonas;Aeromonas eucrenophila;Cluster_2450
Paludibacterium;Neisseriaceae bacterium BFE30I;Cluster_2455
Dysgonomonas;Dysgonomonas sp.;Cluster_2457
Desulfovibrio;bacterium NLAE-zl-H43;Cluster_2462
Candidatus Accumulibacter;unknown species;Cluster_2467
Bact-08;Bacteroidales bacterium CF;Cluster_24688
Enterobacillus;Pantoea agglomerans;Cluster_2470
Herbinix;unidentified eubacterium clone BSV51;Cluster_2474
unknown genus;unknown species;Cluster_2476
Rivicola;Aquaspirillum sp.;Cluster_248
Phenylobacterium;Afipia genosp. 14;Cluster_2480
SN8;unknown species;Cluster_2481
Methylobacillus;Aminomonas aminovorus;Cluster_2482
Multi-affiliation;Multi-affiliation;Cluster_24820
Aminobacter;Multi-affiliation;Cluster_2485
Aeromonas;unknown species;Cluster_2486
Bacteroides;unknown species;Cluster_2488
Pantoea;Multi-affiliation;Cluster_249
Formivibrio;Formivibrio citricus;Cluster_2492
Moraxella;Moraxella osloensis;Cluster_2495
Comamonas;unknown species;Cluster_2497
Lactococcus;Multi-affiliation;Cluster_25
Holophagaceae/Geothrix;unknown species;Cluster_250
Alkanindiges;unknown species;Cluster_2507
Sphingomonas;Multi-affiliation;Cluster_2509
Multi-affiliation;Multi-affiliation;Cluster_2513
unknown genus;unknown species;Cluster_2515
Clostridium;Multi-affiliation;Cluster_252
Uliginosibacterium;Uliginosibacterium flavum;Cluster_2522
Senegalimassilia;Multi-affiliation;Cluster_2524
unknown genus;unknown species;Cluster_25253
UCG-005;gut metagenome;Cluster_2527
Comamonas;unknown species;Cluster_253
Salana;unknown species;Cluster_25379
Paludibacter;unknown species;Cluster_2539
U29-B03;unknown species;Cluster_2541
unknown genus;unknown species;Cluster_2542
Dysgonomonas;unknown species;Cluster_2544
Telmatospirillum;mine drainage metagenome;Cluster_2545
unknown genus;unknown species;Cluster_25453
Companilactobacillus;Multi-affiliation;Cluster_2549
Parabacteroides;unknown species;Cluster_255
Multi-affiliation;Multi-affiliation;Cluster_2552
[Agitococcus] lubricus group;Multi-affiliation;Cluster_2554
Aeromonas;Multi-affiliation;Cluster_2558
Uliginosibacterium;Uliginosibacterium flavum;Cluster_2562
Legionella;Multi-affiliation;Cluster_2563
Legionella;unknown species;Cluster_2566
unknown genus;unknown species;Cluster_2569
Multi-affiliation;Multi-affiliation;Cluster_2571
unknown genus;unknown species;Cluster_25712
unknown genus;Sorangiineae bacterium NIC37A_2;Cluster_2575
Taonella;metagenome;Cluster_2577
unknown genus;metagenome;Cluster_2578
Chitinimonas;Chitinimonas taiwanensis;Cluster_2579
unknown genus;unknown species;Cluster_2580
Rhizobacter;unknown species;Cluster_2582
Flavobacterium;Flavobacterium arsenatis;Cluster_2584
unknown genus;metagenome;Cluster_2589
Acidovorax;Acidovorax sp.;Cluster_25899
Streptococcus;Multi-affiliation;Cluster_259
Flavobacterium;Multi-affiliation;Cluster_25930
Phaselicystis;unknown species;Cluster_2595
Desulfobulbus;Desulfobulbus elongatus;Cluster_2597
Multi-affiliation;Multi-affiliation;Cluster_2599
Stenotrophomonas;Multi-affiliation;Cluster_26
Rivicola;metagenome;Cluster_260
Beggiatoa;Beggiatoa sp.;Cluster_2600
Paludibacter;unknown species;Cluster_2603
Bifidobacterium;Multi-affiliation;Cluster_26050
Flavobacterium;Flavobacterium hankyongi;Cluster_2609
Chryseobacterium;Multi-affiliation;Cluster_261
unknown genus;metagenome;Cluster_2614
Multi-affiliation;Multi-affiliation;Cluster_2616
Curvibacter;Albidiferax sp.;Cluster_2617
Lentimicrobium;unknown species;Cluster_2618
unknown genus;unknown species;Cluster_2619
Oligoflexus;unknown species;Cluster_2621
Chthonobacter;Hartmannibacter sp.;Cluster_2623
unknown genus;unknown species;Cluster_26230
unknown genus;unknown species;Cluster_2626
Rhizobacter;Multi-affiliation;Cluster_2628
Aeromonas;Pseudaeromonas pectinilytica;Cluster_263
unknown genus;unknown species;Cluster_2633
Multi-affiliation;Multi-affiliation;Cluster_2634
SWB02;Multi-affiliation;Cluster_2636
Bdellovibrio;Bdellovibrionales bacterium RIFCSPHIGHO2_01_FULL_40_29;Cluster_2637
unknown genus;unknown species;Cluster_26393
Taibaiella;Taibaiella koreensis;Cluster_2642
Aeromonas;unknown species;Cluster_2643
Treponema;Multi-affiliation;Cluster_2644
Candidatus Soleaferrea;unknown species;Cluster_2647
Multi-affiliation;Multi-affiliation;Cluster_26474
unknown genus;unknown species;Cluster_2650
Bacteroides;Bacteroides salyersiae;Cluster_26517
unknown genus;unknown species;Cluster_2652
Aeromonas;unknown species;Cluster_26539
unknown genus;unknown species;Cluster_2655
Aeromonas;Multi-affiliation;Cluster_26584
unknown genus;metagenome;Cluster_2659
Prevotella_9;unknown species;Cluster_26594
unknown genus;unknown species;Cluster_2662
Paludibacterium;Neisseriaceae bacterium BFE30I;Cluster_2664
Multi-affiliation;Multi-affiliation;Cluster_2666
Kaistia;Multi-affiliation;Cluster_2667
unknown genus;unknown species;Cluster_26728
unknown genus;unknown species;Cluster_2673
[Eubacterium] xylanophilum group;unknown species;Cluster_26751
Acinetobacter;Multi-affiliation;Cluster_26786
Parabacteroides;Multi-affiliation;Cluster_2684
Acinetobacter;unknown species;Cluster_2685
Proteocatella;unknown species;Cluster_26878
Aeromonas;Aeromonas hydrophila;Cluster_2689
Polaromonas;Multi-affiliation;Cluster_269
Oscillibacter;Multi-affiliation;Cluster_2693
Conchiformibius;Neisseria canis;Cluster_2694
Acinetobacter;Acinetobacter rudis CIP 110305;Cluster_27
Turicibacter;Multi-affiliation;Cluster_2702
Tolumonas;unknown species;Cluster_2711
Actinomyces;unknown species;Cluster_272
Macromonas;unknown species;Cluster_2723
unknown genus;unknown species;Cluster_2724
Bacteroides;Bacteroides luti;Cluster_2727
unknown genus;metagenome;Cluster_27290
Acinetobacter;Acinetobacter xiamenensis;Cluster_2739
unknown genus;unknown species;Cluster_2742
unknown genus;unknown species;Cluster_2745
Acetoanaerobium;unknown species;Cluster_2747
Aquabacterium;Multi-affiliation;Cluster_275
unknown genus;unknown species;Cluster_27500
Rhodoferax;Arctic sea ice bacterium ARK10281;Cluster_2760
Proteocatella;unknown species;Cluster_2761
Parabacteroides;unknown species;Cluster_277
Prevotella;Prevotella oryzae;Cluster_2770
Erysipelothrix;unknown species;Cluster_2773
Beggiatoa;Beggiatoa sp.;Cluster_2775
Aeromonas;Multi-affiliation;Cluster_2779
Acinetobacter;Multi-affiliation;Cluster_2783
Paludibacterium;Paludibacterium sp.;Cluster_27871
Curvibacter;Curvibacter gracilis;Cluster_2789
Anaerovorax;Multi-affiliation;Cluster_279
unknown genus;unknown species;Cluster_2790
unknown genus;unknown species;Cluster_2791
Pleomorphomonas;unknown species;Cluster_27910
Candidatus Accumulibacter;metagenome;Cluster_2794
unknown genus;unknown species;Cluster_2797
Acetobacteroides;unknown species;Cluster_28
unknown genus;metagenome;Cluster_2801
Multi-affiliation;Multi-affiliation;Cluster_2802
Novosphingobium;unknown species;Cluster_2803
Ralstonia;unknown species;Cluster_2804
Pygmaiobacter;unknown species;Cluster_2807
Steroidobacter;bacterium MI-37;Cluster_2809
unknown genus;unknown species;Cluster_28099
Bacteroides;Bacteroides reticulotermitis;Cluster_281
Acidovorax;Multi-affiliation;Cluster_2810
Cellvibrio;Multi-affiliation;Cluster_2812
Prevotella;unknown species;Cluster_2813
Beggiatoa;unknown species;Cluster_2816
unknown genus;unknown species;Cluster_2817
OM27 clade;unknown species;Cluster_2819
Taibaiella;Taibaiella koreensis;Cluster_2820
Hylemonella;Multi-affiliation;Cluster_2821
Lentimicrobium;unknown species;Cluster_2823
unknown genus;unknown species;Cluster_2824
unknown genus;unknown species;Cluster_2825
Piscinibacter;Multi-affiliation;Cluster_2826
CL500-29 marine group;unknown species;Cluster_2827
Bacillus;Bacillus halotolerans;Cluster_2828
Propionivibrio;unknown species;Cluster_2832
unknown genus;unknown species;Cluster_2833
Hyphomicrobium;Multi-affiliation;Cluster_2835
Acetoanaerobium;Multi-affiliation;Cluster_28350
CAG-352;unknown species;Cluster_2838
unknown genus;unknown species;Cluster_2846
Acinetobacter;unknown species;Cluster_28468
Flavobacterium;Flavobacterium glaciei;Cluster_2847
Treponema;Multi-affiliation;Cluster_2848
Anaerobiospirillum;unknown species;Cluster_2849
Limosilactobacillus;Multi-affiliation;Cluster_285
Comamonas;Comamonas odontotermitis;Cluster_2850
unknown genus;unknown species;Cluster_2852
unknown genus;unknown species;Cluster_28520
Neochlamydia;unknown species;Cluster_2853
Comamonas;Comamonas nitrativorans;Cluster_28546
unknown genus;unknown species;Cluster_2856
Blvii28 wastewater-sludge group;unknown species;Cluster_2858
Acinetobacter;Multi-affiliation;Cluster_28610
unknown genus;unknown species;Cluster_2863
Arcobacter;Multi-affiliation;Cluster_28639
unknown genus;unknown species;Cluster_2868
Lacihabitans;unknown species;Cluster_2869
Clostridium sensu stricto 12;Multi-affiliation;Cluster_287
Multi-affiliation;Multi-affiliation;Cluster_2870
Treponema;metagenome;Cluster_2871
Multi-affiliation;Multi-affiliation;Cluster_2874
Pseudaminobacter;unknown species;Cluster_2876
Clostridium sensu stricto 9;unknown species;Cluster_2880
Stenoxybacter;unknown species;Cluster_2881
unknown genus;unknown species;Cluster_2882
Candidatus Accumulibacter;unknown species;Cluster_2883
Telmatospirillum;unknown species;Cluster_28863
Sulfuritalea;unknown species;Cluster_2888
Candidatus Competibacter;Multi-affiliation;Cluster_28883
Simplicispira;metagenome;Cluster_28895
Flavobacterium;Multi-affiliation;Cluster_289
unknown genus;unknown species;Cluster_28918
Mycobacterium;Mycobacterium fallax;Cluster_2895
Aeromonas;Multi-affiliation;Cluster_2896
Shewanella;Shewanella baltica;Cluster_29009
Ornithinibacter;Multi-affiliation;Cluster_29025
Prevotella;Prevotella oryzae;Cluster_2903
Niveibacterium;beta proteobacterium IMCC1729;Cluster_2905
Kluyvera;Kluyvera sp.;Cluster_29102
Acetobacteroides;unknown species;Cluster_2911
Multi-affiliation;Multi-affiliation;Cluster_2913
Acidaminococcus;unknown species;Cluster_2917
Beggiatoa;Beggiatoa sp.;Cluster_29192
Flavobacterium;Flavobacterium antarcticum;Cluster_2920
Myroides;Myroides marinus;Cluster_29231
Aeromonas;Multi-affiliation;Cluster_2928
Candidatus Cloacimonas;metagenome;Cluster_29335
Desulfovibrio;unknown species;Cluster_294
Morganella;Multi-affiliation;Cluster_2940
Bacteroides;unknown species;Cluster_2944
Formivibrio;unknown species;Cluster_29459
Myroides;Multi-affiliation;Cluster_29487
Flavobacterium;metagenome;Cluster_2953
Acetoanaerobium;Multi-affiliation;Cluster_2956
Pseudarcobacter;metagenome;Cluster_2965
Enterococcus;Enterococcus lemanii;Cluster_2966
Fusibacter;unknown species;Cluster_2968
unknown genus;unknown species;Cluster_29699
Elizabethkingia;Multi-affiliation;Cluster_297
Paracoccus;Multi-affiliation;Cluster_2972
Eggerthella;Eggerthella sinensis;Cluster_2973
Bergeyella;Multi-affiliation;Cluster_2975
Ligilactobacillus;Multi-affiliation;Cluster_2983
Propionivibrio;unknown species;Cluster_2988
Aliarcobacter;Multi-affiliation;Cluster_3
Morganella;Multi-affiliation;Cluster_30
Chitinivorax;metagenome;Cluster_300
Negativibacillus;Multi-affiliation;Cluster_3000
unknown genus;Idiomarina sp.;Cluster_3002
Acinetobacter;unknown species;Cluster_30040
Parabacteroides;Parabacteroides johnsonii;Cluster_3006
Chryseobacterium;Multi-affiliation;Cluster_3009
Anaerocella;unknown species;Cluster_301
Rhodococcus;Multi-affiliation;Cluster_30107
Enterobacter;unknown species;Cluster_3011
Salmonella;Salmonella enterica;Cluster_3012
Morganella;Morganella sp.;Cluster_30122
Oceanobacter;unknown species;Cluster_3020
Cellulomonas;unknown species;Cluster_3024
WCHB1-32;unknown species;Cluster_3029
Anaerovorax;unknown species;Cluster_303
Pannonibacter;Multi-affiliation;Cluster_3033
Acinetobacter;unknown species;Cluster_30359
Acetoanaerobium;Multi-affiliation;Cluster_30382
Actinomycetia (ma);Multi-affiliation;Cluster_304
Acinetobacter;Acinetobacter rudis CIP 110305;Cluster_3045
Cloacibacterium;unknown species;Cluster_30467
Gemmatimonas;unknown species;Cluster_3051
unknown genus;unknown species;Cluster_3052
unknown genus;unknown species;Cluster_3054
Phaselicystis;metagenome;Cluster_3056
Dysgonomonas;unknown species;Cluster_3057
unknown genus;unknown species;Cluster_3058
Dokdonella;metagenome;Cluster_3059
unknown genus;unknown species;Cluster_30598
Acetobacteroides;unknown species;Cluster_3062
Lentimicrobium;unknown species;Cluster_3063
unknown genus;unknown species;Cluster_30639
Variovorax;Multi-affiliation;Cluster_3064
Candidatus Ovatusbacter;unknown species;Cluster_3065
Fluviicola;unknown species;Cluster_3066
Magnetospirillum;Multi-affiliation;Cluster_3069
Nocardioides;Nocardioides jensenii;Cluster_3070
Silvanigrella;metagenome;Cluster_3071
Polyangium;Polyangium sp.;Cluster_3073
Candidatus Competibacter;unknown species;Cluster_3074
unknown genus;Pseudorhodobacter sp.;Cluster_3077
unknown genus;beta proteobacterium MBIC3293;Cluster_3082
Treponema;unknown species;Cluster_3083
unknown genus;unknown species;Cluster_3085
unknown genus;unknown species;Cluster_3086
Azospira;Azospira restricta;Cluster_3088
Multi-affiliation;Multi-affiliation;Cluster_309
HN-HF0106;unknown species;Cluster_3090
Hyphomonas;unknown species;Cluster_3091
Paludibacterium;Multi-affiliation;Cluster_3095
unknown genus;unknown species;Cluster_3096
Desulfovibrio;bacterium NLAE-zl-H43;Cluster_31
Paludibacter;bacterium enrichment culture clone R4-76B;Cluster_310
unknown genus;metagenome;Cluster_3101
Haliangium;unknown species;Cluster_3102
unknown genus;unknown species;Cluster_3104
Desulfovibrio;unknown species;Cluster_3105
Acidocella;unknown species;Cluster_3106
unknown genus;unknown species;Cluster_3108
Fusicatenibacter;Multi-affiliation;Cluster_311
Desulfovibrio;Desulfovibrio burkinensis;Cluster_3111
Coxiella;unknown species;Cluster_3113
unknown genus;unknown species;Cluster_3115
RBG-16-49-21;microbial mat metagenome;Cluster_3116
unknown genus;unknown species;Cluster_3118
Beggiatoa;unknown species;Cluster_3119
unknown genus;unknown species;Cluster_3120
unknown genus;unknown species;Cluster_3122
Prevotella_7;unknown species;Cluster_3124
Fluviicola;unknown species;Cluster_3127
unknown genus;unknown species;Cluster_3128
H1;unknown species;Cluster_3129
Desulfovibrio;Multi-affiliation;Cluster_313
Sulfurospirillum;Sulfurospirillum cavolei;Cluster_3131
Acinetobacter;Acinetobacter sp.;Cluster_3132
unknown genus;unknown species;Cluster_3134
JTB215;bacterium str. 77003;Cluster_3138
Multi-affiliation;Multi-affiliation;Cluster_3139
unknown genus;unknown species;Cluster_3141
Aquitalea;Aquitalea sp.;Cluster_3142
Taibaiella;Sphingobacteriia bacterium DVSBS1;Cluster_3143
Multi-affiliation;Multi-affiliation;Cluster_3148
unknown genus;unknown species;Cluster_3150
Shewanella;Multi-affiliation;Cluster_3154
unknown genus;unknown species;Cluster_3155
Taibaiella;Taibaiella soli;Cluster_3156
Aquaspirillum;Aquaspirillum putridiconchylium;Cluster_316
Candidatus Accumulibacter;metagenome;Cluster_31613
Zoogloea;unknown species;Cluster_31675
Paludibacterium;Multi-affiliation;Cluster_317
Desulfovibrio;Desulfovibrio butyratiphilus;Cluster_3173
Rhizobacter;unknown species;Cluster_3176
Sporocytophaga;unknown species;Cluster_3178
Candidatus Competibacter;Multi-affiliation;Cluster_318
unknown genus;unknown species;Cluster_3182
unknown genus;unknown species;Cluster_3186
unknown genus;unknown species;Cluster_3187
Candidatus Symbiobacter;unknown species;Cluster_31891
Acinetobacter;Acinetobacter guillouiae;Cluster_319
Multi-affiliation;Multi-affiliation;Cluster_3190
unknown genus;unknown species;Cluster_31995
Desulforegula;unknown species;Cluster_320
Dinghuibacter;unknown species;Cluster_32035
Legionella;unknown species;Cluster_3204
unknown genus;metagenome;Cluster_32045
Multi-affiliation;Multi-affiliation;Cluster_32051
Desulfovibrio;Desulfovibrio simplex;Cluster_321
H1;unknown species;Cluster_3210
Rheinheimera;Pararheinheimera texasensis;Cluster_3216
Roseiarcus;Multi-affiliation;Cluster_3217
Acetitomaculum;unknown species;Cluster_3219
Tolumonas;unknown species;Cluster_322
Sulfurospirillum;Sulfurospirillum cavolei;Cluster_3222
unknown genus;unknown species;Cluster_32231
Desulfobulbus;Desulfomicrobium sp.;Cluster_3226
Bacteroides;Multi-affiliation;Cluster_32286
Bacteroides;unknown species;Cluster_3229
Sphaerotilus;Multi-affiliation;Cluster_3232
Fluviicola;unknown species;Cluster_324
Desulfovibrio;Multi-affiliation;Cluster_3240
Dechloromonas;Multi-affiliation;Cluster_325
Syntrophomonas;unknown species;Cluster_32563
unknown genus;unknown species;Cluster_32572
Alistipes;Multi-affiliation;Cluster_3262
IMCC26207;Actinobacteria bacterium IMCC26207;Cluster_32680
Multi-affiliation;Multi-affiliation;Cluster_327
Aeromonas;Aeromonas eucrenophila;Cluster_3273
Flavobacterium;unknown species;Cluster_3275
Multi-affiliation;Multi-affiliation;Cluster_32761
Beggiatoa;unknown species;Cluster_32767
Kluyvera;bacterium C-J-MA4;Cluster_328
Multi-affiliation;Multi-affiliation;Cluster_32860
unknown genus;unknown species;Cluster_32880
Raoultella/Klebsiella;Multi-affiliation;Cluster_33
Butyrivibrio;unknown species;Cluster_3304
Bacteroides;unknown species;Cluster_33057
Aeromonas;Multi-affiliation;Cluster_33069
Flavobacterium;Multi-affiliation;Cluster_3308
Acinetobacter;Acinetobacter xiamenensis;Cluster_3319
Flavobacterium;Multi-affiliation;Cluster_33206
Proteiniphilum;unknown species;Cluster_33278
Ignavibacteria;Ignavibacteria bacterium RIFOXYA2_FULL_35_10;Cluster_33293
Candidatus Accumulibacter;Multi-affiliation;Cluster_3331
Aeromonas;Multi-affiliation;Cluster_3333
Comamonas;Multi-affiliation;Cluster_33502
unknown genus;unknown species;Cluster_3353
Propionivibrio;Propionivibrio dicarboxylicus;Cluster_3354
Nakamurella;Multi-affiliation;Cluster_3357
Camelimonas;unknown species;Cluster_3359
Acinetobacter;Acinetobacter sp.;Cluster_336
Aeromonas;unknown species;Cluster_3360
W5053;unknown species;Cluster_3363
[Eubacterium] siraeum group;Multi-affiliation;Cluster_3368
Neisseria;unknown species;Cluster_3370
Prevotella;Multi-affiliation;Cluster_3372
Prevotella_9;Prevotella paludivivens;Cluster_33759
Chryseobacterium;Multi-affiliation;Cluster_3376
Parviterribacter;unknown species;Cluster_3387
Subgroup 10;Holophaga sp.;Cluster_3390
C1-B045;unknown species;Cluster_3393
Crocinitomix;metagenome;Cluster_3394
unknown genus;unknown species;Cluster_3397
Citrobacter;Citrobacter sp.;Cluster_33973
Acetobacteroides;unknown species;Cluster_34
unknown genus;unknown species;Cluster_340
unknown genus;unknown species;Cluster_3400
unknown genus;unknown species;Cluster_3401
Flavobacterium;unknown species;Cluster_3404
Paludibaculum;unknown species;Cluster_3405
Sulfuritalea;unknown species;Cluster_3406
Porphyrobacter;Multi-affiliation;Cluster_3411
unknown genus;unknown species;Cluster_3419
Acetobacteroides;Multi-affiliation;Cluster_3420
Soonwooa;Soonwooa buanensis;Cluster_3422
RBG-16-49-21;metagenome;Cluster_3425
Flavobacterium;Multi-affiliation;Cluster_3428
Rhodococcus;Multi-affiliation;Cluster_3432
unknown genus;metagenome;Cluster_3436
Lactococcus;metagenome;Cluster_3438
Cloacibacterium;Multi-affiliation;Cluster_344
Gemmatimonas;unknown species;Cluster_3442
Peredibacter;unknown species;Cluster_3444
Aminobacter;unknown species;Cluster_3446
Multi-affiliation;Multi-affiliation;Cluster_3447
Rhizobacter;Multi-affiliation;Cluster_3449
unknown genus;unknown species;Cluster_3452
Aestuariimicrobium;unknown species;Cluster_3453
Oleiphilus;unknown species;Cluster_3457
Parapusillimonas;unknown species;Cluster_3458
Paludibacter;unknown species;Cluster_346
Prevotella_9;Prevotella paludivivens;Cluster_3461
RBG-16-49-21;metagenome;Cluster_3462
Paludibacter;Paludibacter propionicigenes WB4;Cluster_3464
Acetobacteroides;unknown species;Cluster_3466
unknown genus;metagenome;Cluster_34663
Edaphobaculum;metagenome;Cluster_3470
Undibacterium;Herbaspirillum sp.;Cluster_3471
Multi-affiliation;Multi-affiliation;Cluster_3473
RBG-16-49-21;unknown species;Cluster_3475
unknown genus;unknown species;Cluster_3478
unknown genus;unknown species;Cluster_348
unknown genus;unknown species;Cluster_3485
Xenophilus;Xenophilus arseniciresistens;Cluster_3488
Anaerovibrio;unknown species;Cluster_3493
unknown genus;metagenome;Cluster_3494
Anaerocella;unknown species;Cluster_3498
BD1-7 clade;unknown species;Cluster_3499
Lacrimispora;Multi-affiliation;Cluster_35
Clostridium sensu stricto 13;Multi-affiliation;Cluster_350
Desulfovibrio;unknown species;Cluster_3501
unknown genus;unknown species;Cluster_3504
Candidatus Accumulibacter;unknown species;Cluster_3505
Clavibacter;Clavibacter michiganensis;Cluster_351
P3OB-42;Multi-affiliation;Cluster_3513
Salinispira;unknown species;Cluster_3514
Multi-affiliation;Multi-affiliation;Cluster_3516
unknown genus;unknown species;Cluster_3517
Legionella;unknown species;Cluster_3518
Morganella;Multi-affiliation;Cluster_35201
unknown genus;unknown species;Cluster_3522
unknown genus;unknown species;Cluster_3524
unknown genus;unknown species;Cluster_3526
unknown genus;unknown species;Cluster_353
Peptostreptococcus;Peptostreptococcus russellii;Cluster_3530
Bacteroides;unknown species;Cluster_35320
Roseimarinus;metagenome;Cluster_3536
Limnobacter;unknown species;Cluster_3538
Lachnospiraceae AC2044 group;unknown species;Cluster_35385
Delftia;Comamonas sp.;Cluster_354
unknown genus;unknown species;Cluster_3543
Paludibacterium;Neisseriaceae bacterium BFE30I;Cluster_3545
Aeromonas;unknown species;Cluster_3546
Propionivibrio;unknown species;Cluster_3558
possible genus 03;unknown species;Cluster_3559
Candidatus Jidaibacter;unknown species;Cluster_35641
Nocardioides;Multi-affiliation;Cluster_3567
Anaerovorax;unknown species;Cluster_3575
Clostridium sensu stricto 12;unknown species;Cluster_358
unknown genus;unknown species;Cluster_35811
Kerstersia;unknown species;Cluster_35842
Ruminococcus;Multi-affiliation;Cluster_3585
Candidatus Accumulibacter;unknown species;Cluster_35915
Aeromonas;Multi-affiliation;Cluster_3596
Pleomorphomonas;Multi-affiliation;Cluster_36
Lactobacillus;Multi-affiliation;Cluster_3603
Enterococcus;Enterococcus aquimarinus;Cluster_361
Malikia;Multi-affiliation;Cluster_362
Bacillus;Multi-affiliation;Cluster_36215
Bacteroides;Multi-affiliation;Cluster_3636
Desulfovibrio;Multi-affiliation;Cluster_3637
Candidatus Riegeria;unknown species;Cluster_36424
unknown genus;unknown species;Cluster_365
Pseudochrobactrum;Multi-affiliation;Cluster_36548
Flavobacterium;Multi-affiliation;Cluster_3656
Fluviicola;unknown species;Cluster_36586
Comamonas;Comamonas piscis;Cluster_3665
[Agitococcus] lubricus group;metagenome;Cluster_36693
Clavibacter;Clavibacter michiganensis;Cluster_3670
Acinetobacter;Acinetobacter xiamenensis;Cluster_3675
Lactococcus;metagenome;Cluster_3676
Acinetobacter;Multi-affiliation;Cluster_3678
Vogesella;unknown species;Cluster_3679
Bacteroides;Bacteroidaceae bacterium MS4;Cluster_368
Candidatus Accumulibacter;unknown species;Cluster_36841
Multi-affiliation;Multi-affiliation;Cluster_3687
unknown genus;unknown species;Cluster_36924
Anaerosporobacter;Multi-affiliation;Cluster_3702
Butyricimonas;Butyricimonas virosa;Cluster_3704
unknown genus;metagenome;Cluster_37076
Aeromonas;Multi-affiliation;Cluster_3709
Morganella;Multi-affiliation;Cluster_3710
Fibrobacter;unknown species;Cluster_3711
Prevotellaceae UCG-001;unknown species;Cluster_3712
Citrobacter;Multi-affiliation;Cluster_37275
Aeromonas;Aeromonas molluscorum;Cluster_3728
Lachnospiraceae UCG-003;unknown species;Cluster_3736
Simplicispira;Multi-affiliation;Cluster_37382
Leptotrichia;unknown species;Cluster_3739
unknown genus;unknown species;Cluster_37421
unknown genus;Multi-affiliation;Cluster_3744
Dysgonomonas;unknown species;Cluster_3747
Desulfovibrio;Multi-affiliation;Cluster_3750
unknown genus;Actinomycetaceae bacterium sk1b4;Cluster_3751
Rhodoferax;unknown species;Cluster_3753
Pseudochrobactrum;Multi-affiliation;Cluster_37531
unknown genus;Multi-affiliation;Cluster_3757
Dysgonomonas;Dysgonomonas macrotermitis;Cluster_376
Dysgonomonas;Dysgonomonas sp.;Cluster_3765
Janthinobacterium;Dictyostelium polycarpum;Cluster_3769
unknown genus;unknown species;Cluster_377
Dysgonomonas;Multi-affiliation;Cluster_3772
Desulfovibrio;Multi-affiliation;Cluster_3775
Prevotellaceae UCG-001;Marseilla massiliensis;Cluster_3777
unknown genus;unknown species;Cluster_3784
Flavobacterium;Multi-affiliation;Cluster_3792
unknown genus;unknown species;Cluster_3793
Roseococcus;metagenome;Cluster_3795
Rubrivivax;unknown species;Cluster_3797
Acinetobacter;Acinetobacter sp.;Cluster_3799
Dysgonomonas;Multi-affiliation;Cluster_380
unknown genus;unknown species;Cluster_3800
Roseococcus;Multi-affiliation;Cluster_3804
unknown genus;unknown species;Cluster_3806
unknown genus;Multi-affiliation;Cluster_3807
Flavobacterium;Flavobacterium spartansii;Cluster_3808
unknown genus;unknown species;Cluster_3809
Multi-affiliation;Multi-affiliation;Cluster_381
unknown genus;unknown species;Cluster_3812
Pseudomonas;Azomonas insignis;Cluster_3815
unknown genus;unknown species;Cluster_3817
Bacillus;Multi-affiliation;Cluster_3820
unknown genus;metagenome;Cluster_3825
unknown genus;metagenome;Cluster_38265
Anaerocolumna;unknown species;Cluster_3828
Multi-affiliation;Multi-affiliation;Cluster_3831
Carboxylicivirga;unknown species;Cluster_3832
unknown genus;unknown species;Cluster_3833
Microbacterium;Multi-affiliation;Cluster_3837
unknown genus;unknown species;Cluster_3839
Robinsoniella;bacterium 12(2016);Cluster_384
Sphingosinicella;Multi-affiliation;Cluster_3845
Desulfonema;unknown species;Cluster_3848
Taibaiella;unknown species;Cluster_3849
